연도,읍면동,구분,노지온주(극조생),노지온주(조생),노지온주(보통),하우스감귤(조기출하),비가림(월동)감귤,만감류(시설),만감류(노지),데이터기준일
2012,대정읍,농가수,50.0,727.0,3.0,3.0,92.0,201.0,17.0,2024-05-13 00:00:00
2012,대정읍,면적,38.8,505.0,1.0,0.9,50.0,68.2,3.9,2024-05-13 00:00:00
2012,대정읍,생산량,1067.0,15691.0,29.0,55.0,1575.0,1910.0,78.0,2024-05-13 00:00:00
2012,남원읍,농가수,180.0,4017.0,233.0,489.0,390.0,1129.0,126.0,2024-05-13 00:00:00
2012,남원읍,면적,171.3,3527.3,197.9,153.5,416.7,546.1,34.4,2024-05-13 00:00:00
2012,남원읍,생산량,5021.0,122287.0,6555.0,13211.0,15285.0,18346.0,500.0,2024-05-13 00:00:00
2012,성산읍,농가수,73.0,1558.0,25.0,5.0,111.0,136.0,54.0,2024-05-13 00:00:00
2012,성산읍,면적,40.0,837.0,20.0,2.0,45.3,43.7,10.5,2024-05-13 00:00:00
2012,성산읍,생산량,1244.0,29769.0,740.0,114.0,1653.0,965.0,132.0,2024-05-13 00:00:00
2012,안덕면,농가수,128.0,1239.0,20.0,28.0,112.0,109.0,33.0,2024-05-13 00:00:00
2012,안덕면,면적,79.6,763.4,10.6,9.5,42.8,39.9,14.8,2024-05-13 00:00:00
2012,안덕면,생산량,2220.0,23634.0,318.0,604.0,1477.0,1016.0,350.0,2024-05-13 00:00:00
2012,표선면,농가수,50.0,838.0,32.0,122.0,129.0,526.0,12.0,2024-05-13 00:00:00
2012,표선면,면적,36.1,946.5,24.9,48.0,85.0,208.0,3.1,2024-05-13 00:00:00
2012,표선면,생산량,1085.0,29511.0,939.0,2880.0,2550.0,8242.0,93.0,2024-05-13 00:00:00
2012,송산동,농가수,10.0,302.0,15.0,40.0,5.0,93.0,0.0,2024-05-13 00:00:00
2012,송산동,면적,3.6,170.0,4.5,18.6,0.2,29.5,0.0,2024-05-13 00:00:00
2012,송산동,생산량,62.0,4814.0,52.0,862.0,5.0,546.0,0.0,2024-05-13 00:00:00
2012,천지동,농가수,10.0,23.0,13.0,0.0,0.0,6.0,0.0,2024-05-13 00:00:00
2012,천지동,면적,3.0,10.0,4.0,0.0,0.0,2.1,0.0,2024-05-13 00:00:00
2012,천지동,생산량,105.0,450.0,148.0,0.0,0.0,63.0,0.0,2024-05-13 00:00:00
2012,효돈동,농가수,50.0,648.0,0.0,0.0,26.0,174.0,0.0,2024-05-13 00:00:00
2012,효돈동,면적,35.0,302.8,0.0,0.0,18.0,52.5,0.0,2024-05-13 00:00:00
2012,효돈동,생산량,1709.0,8879.0,0.0,0.0,439.0,1366.0,0.0,2024-05-13 00:00:00
2012,영천동,농가수,50.0,769.0,23.0,22.0,38.0,290.0,17.0,2024-05-13 00:00:00
2012,영천동,면적,29.2,631.8,19.5,1.7,23.3,100.0,4.1,2024-05-13 00:00:00
2012,영천동,생산량,1009.0,17949.0,832.0,57.0,781.0,2889.0,105.0,2024-05-13 00:00:00
2012,동홍동,농가수,15.0,384.0,8.0,0.0,4.0,51.0,0.0,2024-05-13 00:00:00
2012,동홍동,면적,9.7,163.3,5.5,0.0,1.1,17.2,0.0,2024-05-13 00:00:00
2012,동홍동,생산량,310.0,5244.0,186.0,0.0,18.0,455.0,0.0,2024-05-13 00:00:00
2012,서홍동,농가수,25.0,284.0,19.0,30.0,22.0,29.0,0.0,2024-05-13 00:00:00
2012,서홍동,면적,18.4,246.7,11.0,12.7,9.8,11.9,0.0,2024-05-13 00:00:00
2012,서홍동,생산량,510.0,6834.0,305.0,356.0,298.0,311.0,0.0,2024-05-13 00:00:00
2012,대륜동,농가수,15.0,386.0,10.0,3.0,12.0,96.0,6.0,2024-05-13 00:00:00
2012,대륜동,면적,13.0,446.3,5.7,1.0,4.9,36.4,1.2,2024-05-13 00:00:00
2012,대륜동,생산량,317.0,10966.0,137.0,17.0,7.0,791.0,12.0,2024-05-13 00:00:00
2012,대천동,농가수,88.0,683.0,44.0,30.0,79.0,578.0,12.0,2024-05-13 00:00:00
2012,대천동,면적,84.5,531.6,33.0,13.0,58.8,168.7,3.1,2024-05-13 00:00:00
2012,대천동,생산량,2754.0,17862.0,1109.0,698.0,1917.0,5145.0,87.0,2024-05-13 00:00:00
2012,중문동,농가수,89.0,1234.0,12.0,19.0,32.0,168.0,14.0,2024-05-13 00:00:00
