구분,중점방제대상,병해충,방제약,데이터기준일자
감귤,하우스감귤,잿빛곰팡이병,벨쿠트(수)·확시란(수)·유닉스(입상수)·카브리오,2019-08-30
감귤,하우스감귤,응애(녹응애),지존(액상수)·쇼크(액상수)·주움(액상)·코드원(액상)·쏘렌토,2019-08-30
감귤,하우스감귤. 만감류,검은점무늬병,다이센엠-45(수)·안트라콜(수)·새론·탄제로,2019-08-30
감귤,하우스감귤. 만감류,귤응애,가네마이트(액상)·쇼크(액상)·산마루(수)·응애단(유)·주움(수).,2019-08-30
감귤,하우스감귤. 만감류,차잎말이나방,알리세(입상)·앰풀리고(액상)·알타코아(입상)·맬럿플서스(액상),2019-08-30
감귤,하우스감귤. 만감류,총채벌레,엑설트(수)·팡파레에스(액상)·램페이지(수)·명중(유)·야생마(수)·섹큐어·코난,2019-08-30
감귤,하우스감귤. 만감류,잿빛곰팡이병,코리스·깨끄탄·후론사이트·텔도,2019-08-30
감귤,하우스감귤,응애류,응애도사(액상)·노블레스(액상)·쇼크(액상),2019-08-30
감귤,만감류,저장병,벨쿠트(수)·해비치(입상)·스포르곤(수)·머니업,2019-08-30
감귤,만감류,잿빛곰팡이병,사파이어·프로파티·코리스,2019-08-30
감귤,만감류,귤응애,아크라마이트(액상)·쇼크(액)·가네마이트·마스터프로,2019-08-30
감귤,만감류,총채벌레,명중(유)·섹큐어(액상)·야생마(수)·엔젤팜(액상)·스트라이크·렘페이지·아타라,2019-08-30
감귤,만감류,차잎말이나방,알타코아·귀공자·코난·맬럿플러스,2019-08-30
감귤,만감류,응애류,쇼크(액상)·엔비도(액상)·주움(액상)·잭팟(액상)·노블레스(액상),2019-08-30
감귤,만감류,응애+총채벌레,파워샷골드(액)·왕중왕,2019-08-30
감귤,만감류,귤굴나방,로드(수)·히든키(입상)·천하평정(수)·프레바톤(수),2019-08-30
감귤,노지감귤,검은점무늬병,다이센엠-45(수)·새론(수)·탄제로(수)·만수무강(액상)·차찬(입상)·안트라콜,2019-08-30
감귤,노지감귤,더뎅이병,카브리오(유)·카스텔란(수)·뉴페이스(액수)·유닉스·확시란,2019-08-30
감귤,노지감귤,잿빛곰팡이병,만능타·벨리스플러스·흐론사이드·카브리오,2019-08-30
