연도,호수,발표일,분류,농작물명,병해충유형,방제약,데이터기준일자
2024,1호,2024-02-19,감귤·키위,하우스감귤,잿빛곰팡이병,살림꾼(액수)·유닉스(입수)·카브리오(유)·후론사이드(수) 등,2024-04-15
2024,1호,2024-02-19,감귤·키위,하우스감귤,귤응애,가네마이트(액수)·노블레스(액수)·아크라마이트(액수)·지존(액상) 등,2024-04-15
2024,1호,2024-02-19,감귤·키위,만감류,저장병,머니업(수)·스포르곤(수)·해비치(입수) 등,2024-04-15
2024,1호,2024-02-19,감귤·키위,키위,경종적방제,전정 후 상처부위에 톱신페스트 도포 처리,2024-04-15
2024,1호,2024-02-19,감귤·키위,키위,깍지벌레류,기계유(유) 40~50배(수세가약한가지는마르는경우도있음),2024-04-15
2024,1호,2024-02-19,채소,마늘,세균점무늬병,델란케이(수)·타미나(수) 등,2024-04-15
2024,1호,2024-02-19,채소,마늘,흑색썩음균핵병,벨리스플러스(입수)·살림꾼(액수)·카스텔란(수) 등,2024-04-15
2024,1호,2024-02-19,채소,마늘,잎집썩음병,메가폰(입수)·아무러(수)·용마루(수용)·일품(수) 등,2024-04-15
2024,1호,2024-02-19,채소,양파·쪽파,노균병,명작(액수)·오티바(액수)·젬프로(액수)·텔루스(액수) 등,2024-04-15
2024,1호,2024-02-19,채소,양파·쪽파,잿빛곰팡이병,금모리(액수)·미토스(액수)·차단(액수)·크린캡(유제),2024-04-15
2024,1호,2024-02-19,채소,양배추,검은썩음병,메가폰(입수)·비천무(입수)·용마루(수용) 등,2024-04-15
2024,1호,2024-02-19,채소,브로콜리,노균병,카브리오(유)·캐스팅(액수)·텔루스(액수) 등,2024-04-15
2024,1호,2024-02-19,채소,딸기,잿빛곰팡이병,깨끄탄(수)·스포르곤(수)·차단(액수)·칸투스(입수)·코리스(액수) 등,2024-04-15
2024,1호,2024-02-19,채소,딸기,온실가루이,신기루(유)·에스지블루밍(액수) 등,2024-04-15
2024,2호,2024-03-15,감귤,노지 감귤,깍지벌레류,전정시 깍지벌레 등 이병주를 표시하여 5월경 집중 방제,2024-04-15
2024,2호,2024-03-15,감귤,하우스감귤(만감류),귤응애,다이마이트(분액)·마이트킹(액수)·응애단(유)·지존(액수) 등,2024-04-15
2024,2호,2024-03-15,감귤,만감류(가온),귤응애,꽃이 20~30%정도 피면 기계유(유)80~100배액으로 살포,2024-04-15
2024,2호,2024-03-15,감귤,하우스감귤(만감류),총채벌레,델리게이트(입수)·검객(수)·슈퍼펀치(액수) 등,2024-04-15
2024,2호,2024-03-15,채소,마늘,무름병,일취월장(수)·메기폰(수)·일품(수)·비천무(입수) 등,2024-04-15
2024,2호,2024-03-15,채소,마늘,흑색썩음균핵병,만데수(액수)·살림꾼(액수)·벨리스프러스(입수) 등,2024-04-15
2024,2호,2024-03-15,채소,마늘,잎마름병,다코닐(수)·오티바(액수)·카브리오(유)·캐스팅(액수) 등,2024-04-15
2024,2호,2024-03-15,채소,마늘,세균점무늬병,무름멘다(유수)·델란케이(수)·타미나(수) 등,2024-04-15
2024,2호,2024-03-15,채소,마늘,뿌리응애·고자리파리,록숀(유)·캡쳐(입수)·테푸콘(입)·아바킹(유) 등,2024-04-15
2024,2호,2024-03-15,채소,양파,노균병,다이센엠45(수)·리도밀엠지(수)·명작(액수) 등,2024-04-15
2024,2호,2024-03-15,채소,양파,잿빛곰팡이병,벨쿠트(액수)·후론사이드(수)·금모리(액수)·다스린(수) 등,2024-04-15
2024,2호,2024-03-15,채소,양파,무름병,마스터키(액수)·일취월장(수)·빅히트(입수)·크러쉬(입수) 등,2024-04-15
2024,2호,2024-03-15,채소,토마토,담배가루이,델리게이트(입수)·모벤토(액수)·프로큐어(유) 등,2024-04-15
2024,2호,2024-03-15,채소,토마토,아메리카잎굴파리,올가미(액수)·당찬(액수)·미네토스타(입수) 등,2024-04-15
2024,2호,2024-03-15,채소,토마토,총채벌레,팬텀(입수)·총채탄(액수)·렘페이지(유) 등,2024-04-15
2024,2호,2024-03-15,채소,딸기,잿빛곰팡이병,살림꾼(액수)·스포로곤(수)·칸투스(입수) 등,2024-04-15
2024,2호,2024-03-15,채소,딸기,점박이응애,다이마이트(분액)·마이트킹(액수)·주움(액수) 등,2024-04-15
2024,2호,2024-03-15,채소,딸기,총채벌레,다트롤(유탁)·램페이지(유)·제왕(액수) 등,2024-04-15
2024,2호,2024-03-15,밭작물,초당옥수수,거세미나방,근중탄(입)·쏘버린(입)·마샬(입) 등,2024-04-15
2024,2호,2024-03-15,밭작물,초당옥수수,조명나방,장원(유)·델리게이트(입수)·세베로(유) 등,2024-04-15
2024,3호,2024-04-01,감귤,노지감귤,더뎅이병,푸르겐(수)·살림꾼(액수)·확시란(수)·델란(수)·아미스타(수) 등,2024-04-15
2024,3호,2024-04-01,감귤,하우스감귤·만감류,잿빛곰팡이병,사파이어(액상)·카브리오(유)·후론사이드(수)·코리스(액수) 등,2024-04-15
2024,3호,2024-04-01,감귤,하우스감귤,귤응애,다이마이트(분액)·마이트킹(액수)·쇼크(액수) 등,2024-04-15
2024,3호,2024-04-01,감귤,만감류,귤응애,꽃이 20~30%정도피면기계유(유) 80∼100배액으로살포(황반병예방을위해보르도액혼용살포),2024-04-15
2024,3호,2024-04-01,감귤,하우스감귤·만감류,총채벌레,다트롤(유탁)·섹큐어(액수)·킹스팜(액상)·엑스라지(액수)  등,2024-04-15
2024,3호,2024-04-01,채소,마늘,잎마름병,미래빛(액수)·벨쿠트(수)·오티바(액수)·트리후민(수) 등,2024-04-15
2024,3호,2024-04-01,채소,마늘,세균점무늬병,델란케이(수)·타미나(수) 등,2024-04-15
2024,3호,2024-04-01,채소,마늘,잎집썩음병,메가폰(입수)·아무러(수)·용마루(수용)·일품(수) 등,2024-04-15
2024,3호,2024-04-01,채소,마늘,녹병,살림꾼(입상)·아미스타탑(액수)·푸르겐(수)·한빛(액수) 등,2024-04-15
