지점명,일시,일조시간,일사량
고산,2018-01-01,111.6,150.58
고산,2018-02-01,137.9,248.8
고산,2018-03-01,193.3,426.93
고산,2018-04-01,203.7,515.4
고산,2018-05-01,144.8,451.38
고산,2018-06-01,208.8,525.16
고산,2018-07-01,272.9,622.74
고산,2018-08-01,297.6,601.57
고산,2018-09-01,166.3,394.68
고산,2018-10-01,220.6,390.77
고산,2018-11-01,190.4,292.36
고산,2018-12-01,89.7,158.62
고산,2019-01-01,153.1,241.68
고산,2019-02-01,127.9,261.06
고산,2019-03-01,206.6,447.56
고산,2019-04-01,202.9,496.18
고산,2019-05-01,267.2,615.43
고산,2019-06-01,207.0,518.03
고산,2019-07-01,139.9,431.57
고산,2019-08-01,225.3,519.48
고산,2019-09-01,180.2,393.46
고산,2019-10-01,221.7,377.19
고산,2019-11-01,192.4,290.87
고산,2019-12-01,111.8,179.85
고산,2020-01-01,84.7,176.89
고산,2020-02-01,163.7,297.91
고산,2020-03-01,215.5,446.79
고산,2020-04-01,273.8,597.68
고산,2020-05-01,197.0,527.07
고산,2020-06-01,158.3,439.79
고산,2020-07-01,130.6,410.76
고산,2020-08-01,242.2,549.59
고산,2020-09-01,180.3,385.26
고산,2020-10-01,236.3,412.32
고산,2020-11-01,166.2,271.98
고산,2020-12-01,141.2,209.24
고산,2021-01-01,135.4,220.48
고산,2021-02-01,167.3,308.67
고산,2021-03-01,204.6,450.07
고산,2021-04-01,232.8,549.04
고산,2021-05-01,240.5,582.95
고산,2021-06-01,229.9,569.36
고산,2021-07-01,175.2,473.77
고산,2021-08-01,200.1,463.62
고산,2021-09-01,171.5,381.35
고산,2021-10-01,235.6,419.4
고산,2021-11-01,190.8,284.91
고산,2021-12-01,151.6,211.74
고산,2022-01-01,149.2,250.23
고산,2022-02-01,155.5,290.4
고산,2022-03-01,172.8,407.52
고산,2022-04-01,242.8,585.05
고산,2022-05-01,271.9,650.8
고산,2022-06-01,173.3,515.65
고산,2022-07-01,256.8,593.74
고산,2022-08-01,246.1,540.24
고산,2022-09-01,179.5,410.16
고산,2022-10-01,237.6,434.36
고산,2022-11-01,202.4,300.41
고산,2022-12-01,100.2,179.74
고산,2023-01-01,109.9,215.08
고산,2023-02-01,122.4,304.15
고산,2023-03-01,199.3,486.89
고산,2023-04-01,192.0,519.64
고산,2023-05-01,153.4,524.98
고산,2023-06-01,143.6,511.63
고산,2023-07-01,86.5,440.79
고산,2023-08-01,273.3,654.25
고산,2023-09-01,203.4,524.14
고산,2023-10-01,234.4,495.63
고산,2023-11-01,136.3,291.43
고산,2023-12-01,79.2,187.1
제주시,2018-01-01,73.8,184.41
제주시,2018-02-01,122.2,286.47
제주시,2018-03-01,190.9,450.58
제주시,2018-04-01,205.6,550.16
제주시,2018-05-01,159.9,543.09
제주시,2018-06-01,187.0,576.1
제주시,2018-07-01,233.7,632.09
제주시,2018-08-01,245.7,613.7
제주시,2018-09-01,122.8,386.19
제주시,2018-10-01,174.8,371.85
제주시,2018-11-01,161.4,294.87
제주시,2018-12-01,61.9,155.8
제주시,2019-01-01,97.5,222.25
제주시,2019-02-01,110.9,262.06
제주시,2019-03-01,187.6,464.14
제주시,2019-04-01,196.1,523.03
제주시,2019-05-01,262.3,682.44
제주시,2019-06-01,194.3,594.51
제주시,2019-07-01,175.1,536.39
제주시,2019-08-01,176.5,519.94
제주시,2019-09-01,120.9,369.79
제주시,2019-10-01,160.7,368.14
제주시,2019-11-01,146.9,289.92
제주시,2019-12-01,81.1,174.39
제주시,2020-01-01,47.5,163.1
제주시,2020-02-01,115.7,283.9
제주시,2020-03-01,196.3,463.7
제주시,2020-04-01,261.7,631.61
제주시,2020-05-01,210.0,614.98
